	NCBI sample classification	NCBI sample classification_units	accession	analysis-completed	bacterial carbon production	bacterial carbon production_units	bacterialcarbon production	bacterialcarbon production_units	biosample	collection date	collection date_units	collection time	collection time_units	collection-date	density	density_units	depth	depth_units	dissolved inorganic carbon	dissolved inorganic carbon_units	dissolved oxygen	dissolved oxygen_units	environment-biome	environment-feature	environment-material	environmental package	environmental package_units	fluorescence	fluorescence_units	geo-loc-name	host-tax-id	id	instrument model	instrument model_units	investigation type	investigation type_units	last-update	latitude	longitude	maximum filter size	maximum filter size_units	minimum filter size	minimum filter size_units	oxygen saturation	oxygen saturation_units	photosynthetically active radiation	photosynthetically active radiation_units	potential density	potential density_units	pressure	pressure_units	salinity	salinity_units	sample-alias	sample-desc	sample-name	sampling cruise	sampling cruise_units	sampling site	sampling site_units	samplingcruise	samplingcruise_units	sequencing method	sequencing method_units	species	temperature	temperature_units	turbidity	turbidity_units	type	volume of sample	volume of sample_units
11	1169740		SRS580498	2014-05-09	79.80	pmol leu/L/hr			SAMN02628415	2010-06-16		0806		2010-06-16	1015.64	kgm-2	3.64	m	1576	&micro;mol/kg	194.25	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.16 mgm-3		Western Tropical North Atlantic Ocean		SRS580498	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	10.68	-54.42	156	&micro;m	2.0	&micro;m	95.39	%	27.94	&micro;Em-2sec-1	15.62		3.66	Db	26.49	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM39	R/V Knorr, May-June 2010		Station 23				Illumina PE 150x150			29.22	&deg;C	1.10	NTU	samples	10	L
12	1169740		SRS580499	2014-05-08	78.48	pmol leu/L/hr			SAMN02628420	2010-06-18		0845		2010-06-18	1019.66	kgm-2	3.93	m	1775	&micro;mol/kg	213.84	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.99 mgm-3		Western Tropical North Atlantic Ocean		SRS580499	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	11.31	-56.43	2.0	&micro;m	0.2	&micro;m	108.60	%	73.71	&micro;Em-2sec-1	19.65		3.95	Db	31.87	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMSEnvironmental/Metagenome sample from aquatic metagenome	ACM53	R/V Knorr, May-June 2010		Station 25				Illumina PE 150x150			29.21	&deg;C	1.23	NTU	samples	9.8	L
13	1169740		SRS580500	2014-05-09	16.11	pmol leu/L/hr			SAMN02628422	2010-06-21		0843		2010-06-21	1023.05	kgm-2	3.89	m	2005	&micro;mol/kg	188.39	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.01 mgm-3		Western Tropical North Atlantic Ocean		SRS580500	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	12.41	-52.22	2.0	&micro;m	0.2	&micro;m	96.95	%	80.36	&micro;Em-2sec-1	23.04		3.92	Db	36.03	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM55	R/V Knorr, May-June 2010		Station 27				Illumina PE 150x150			28.40	&deg;C	1.07	NTU	samples	13.4	L
14	1169740		SRS580502	2014-05-09	16.11	pmol leu/L/hr			SAMN02628423	2010-06-21		0928		2010-06-21	1023.05	kgm-2	3.89	m	2005	&micro;mol/kg	188.39	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.01 mgm-3		Western Tropical North Atlantic Ocean		SRS580502	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	12.41	-52.22	156	&micro;m	2.0	&micro;m	96.95	%	80.36	&micro;Em-2sec-1	23.04		3.92	Db	36.03	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM56	R/V Knorr, May-June 2010		Station 27				Illumina PE 150x150			28.40	&deg;C	1.07	NTU	samples	12.8	L
15	1169740		SRS581964	2014-05-09	79.80	pmol leu/L/hr			SAMN02628406	2010-06-16		1015		2010-06-16	1015.64	kgm-2	3.64	m	1576	&micro;mol/kg	194.25	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.16 mgm-3		Western Tropical North Atlantic Ocean		SRS581964	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	10.68	-54.42	156	&micro;m	2.0	&micro;m	95.39	%	27.94	&micro;Em-2sec-1	15.62		3.66	Db	26.49	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM21	R/V Knorr, May-June 2010		Station 23				Illumina PE 150x150			29.22	&deg;C	1.10	NTU	samples	10.8	L
16	1169740		SRS581965	2014-05-09	78.48	pmol leu/L/hr			SAMN02628407	2010-06-18		0757		2010-06-18	1019.66	kgm-2	3.93	m	1775	&micro;mol/kg	213.84	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.99 mgm-3		Western Tropical North Atlantic Ocean		SRS581965	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	11.31	-56.43	2.0	&micro;m	0.2	&micro;m	108.60	%	73.71	&micro;Em-2sec-1	19.65		3.95	Db	31.87	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM22	R/V Knorr, May-June 2010		Station 25				Illumina PE 150x150			29.21	&deg;C	1.23	NTU	samples	9.4	L
17	1169740		SRS582461	2014-05-09	327.96	pmol leu/L/hr			SAMN02628411	2010-06-05		0749		2010-06-05	1012.65	kgm-2	4.26	m	1373	&micro;mol/kg	251.56	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		7.25 mgm-3		Western Tropical North Atlantic Ocean		SRS582461	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	4.88	-51.36	156	&micro;m	2.0	&micro;m	120.81	%	22.08	&micro;Em-2sec-1	12.63		4.28	Db	22.55	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM3	R/V Knorr, May-June 2010		Station 10				Illumina PE 150x150			29.36	&deg;C	3.02	NTU	samples	5.2	L
18	1169740		SRS582462	2014-05-09	78.48	pmol leu/L/hr			SAMN02628408	2010-06-18		0845		2010-06-18	1019.66	kgm-2	3.93	m	1775	&micro;mol/kg	213.84	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.99 mgm-3		Western Tropical North Atlantic Ocean		SRS582462	Illumina MiSeq		metagenome		2015-08-13T15:30:57	11.31	-56.43	156	&micro;m	2.0	&micro;m	108.60	%	73.71	&micro;Em-2sec-1	19.65		3.95	Db	31.87	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM23	R/V Knorr, May-June 2010		Station 25				Illumina PE 150x150			29.21	&deg;C	1.23	NTU	samples	4.85	L
19	1169740		SRS582463	2014-05-08	79.80	pmol leu/L/hr			SAMN02628414	2010-06-16		1015		2010-06-16	1015.64	kgm-2	3.64	m	1576	&micro;mol/kg	194.25	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.16 mgm-3		Western Tropical North Atlantic Ocean		SRS582463	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	10.68	-54.42	2.0	&micro;m	0.2	&micro;m	95.39	%	27.94	&micro;Em-2sec-1	15.62		3.66	Db	26.49	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM38	R/V Knorr, May-June 2010		Station 23				Illumina PE 150x150			29.22	&deg;C	1.10	NTU	samples	10.8	L
20	1169740		SRS582491	2014-05-09	139.68	pmol leu/L/hr			SAMN02628417	2010-05-26		1000		2010-05-26	1018.98	kgm-2	3.76	m	1846	&micro;mol/kg	188.26	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.28 mgm-3		Western Tropical North Atlantic Ocean		SRS582491	Illumina Genome AnalyzerIIx		metagenome		2015-08-13T15:30:57	7.29	-53.0	2.0	&micro;m	0.2	&micro;m	94.43	%	65.38	&micro;Em-2sec-1	18.97		3.78	Db	30.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM40	R/V Knorr, May-June 2010		Station 3				Illumina PE 150x150			28.85	&deg;C	1.12	NTU	samples	10.4	L
21	1169740		SRS584253	2014-05-09	78.48	pmol leu/L/hr			SAMN02628421	2010-06-18		0930		2010-06-18	1019.66	kgm-2	3.93	m	1775	&micro;mol/kg	213.84	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		0.99 mgm-3		Western Tropical North Atlantic Ocean		SRS584253	Illumina HiSeq 2500		metagenome		2015-08-13T15:30:57	11.31	-56.43	156	&micro;m	2.0	&micro;m	108.60	%	73.71	&micro;Em-2sec-1	19.65		3.95	Db	31.87	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM54	R/V Knorr, May-June 2010		Station 25				Illumina PE 150x150			29.21	&deg;C	1.23	NTU	samples	5.05	L
22	1169740		SRS584254	2014-05-09	327.96	pmol leu/L/hr			SAMN02628416	2010-06-05		0850		2010-06-05	1012.65	kgm-2	4.26	m	1373	&micro;mol/kg	251.56	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		7.25 mgm-3		Western Tropical North Atlantic Ocean		SRS584254	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	4.88	-51.36	2.0	&micro;m	0.2	&micro;m	120.81	%	22.08	&micro;Em-2sec-1	12.63		4.28	Db	22.55	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenomesample from aquatic metagenome	ACM4	R/V Knorr, May-June 2010		Station 10				Illumina PE 150x150			29.36	&deg;C	3.02	NTU	samples	4.8	L
23	1169740		SRS584255	2014-05-08	327.96	pmol leu/L/hr			SAMN02628413	2010-06-05		0850		2010-06-05	1012.65	kgm-2	4.26	m	1373	&micro;mol/kg	251.56	&micro;mol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water		7.25 mgm-3		Western Tropical North Atlantic Ocean		SRS584255	Illumina Genome Analyzer IIx		metagenome		2015-08-13T15:30:57	4.88	-51.36	156	&micro;m	2.0	&micro;m	120.81	%	22.08	&micro;Em-2sec-1	12.63		4.28	Db	22.55	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM37			Station 10		R/V Knorr, May-June 2010		Illumina PE 150x150			29.36	&deg;C	3.02	NTU	samples	4.8	L
