	NCBI sample classification	accession	analysis-completed	bacterial carbon production	bacterial carbon production_units	bacterialcarbon production	bacterialcarbon production_units	biosample	collection date	collection time	collection-date	density	density_units	depth	depth_units	dissolved inorganic carbon	dissolved inorganic carbon_units	dissolved oxygen	dissolved oxygen_units	environment-biome	environment-feature	environment-material	environmental package	fluorescence	geo-loc-name	host-tax-id	id	id biome	id studies	instrument model	instrument model_units	investigation type	last-update	latitude	longitude	maximum filter size	maximum filter size_units	minimum filter size	minimum filter size_units	oxygen saturation	oxygen saturation_units	photosynthetically active radiation	photosynthetically active radiation_units	potential density	pressure	pressure_units	relationships links biome	relationships links runs	relationships links studies	relationships links studies self	salinity	salinity_units	sample-alias	sample-desc	sample-name	samples links self	sampling cruise	sampling site	samplingcruise	sequencing method	species	temperature	temperature_units	turbidity	turbidity_units	type	type biome	type studies	volume of sample	volume of sample_units
10	1169740	SRS580495	2014-05-09	112.48	pmol leu/L/hr			SAMN02628410	2010-05-25	0839	2010-05-25	1019.80	kgm-2	4.47	m	1802	μmol/kg	196.25	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.61 mgm-3	Western Tropical North Atlantic Ocean		SRS580495	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	10.29	-54.51	156	μm	2.0	μm	98.70	%	16.71	μEm-2sec-1	19.78	4.50	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580495/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580495/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	31.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM25	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580495	R/V Knorr, May-June 2010	Station 2		Illumina PE 150x150		28.63	C	1.17	NTU	samples	biomes	studies	11.1	L
11	1169740	SRS580498	2014-05-09	79.80	pmol leu/L/hr			SAMN02628415	2010-06-16	0806	2010-06-16	1015.64	kgm-2	3.64	m	1576	μmol/kg	194.25	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.16 mgm-3	Western Tropical North Atlantic Ocean		SRS580498	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	10.68	-54.42	156	μm	2.0	μm	95.39	%	27.94	μEm-2sec-1	15.62	3.66	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580498/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580498/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	26.49	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM39	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580498	R/V Knorr, May-June 2010	Station 23		Illumina PE 150x150		29.22	C	1.10	NTU	samples	biomes	studies	10	L
12	1169740	SRS580499	2014-05-08	78.48	pmol leu/L/hr			SAMN02628420	2010-06-18	0845	2010-06-18	1019.66	kgm-2	3.93	m	1775	μmol/kg	213.84	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.99 mgm-3	Western Tropical North Atlantic Ocean		SRS580499	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	11.31	-56.43	2.0	μm	0.2	μm	108.60	%	73.71	μEm-2sec-1	19.65	3.95	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580499/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580499/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	31.87	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMSEnvironmental/Metagenome sample from aquatic metagenome	ACM53	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580499	R/V Knorr, May-June 2010	Station 25		Illumina PE 150x150		29.21	C	1.23	NTU	samples	biomes	studies	9.8	L
13	1169740	SRS580500	2014-05-09	16.11	pmol leu/L/hr			SAMN02628422	2010-06-21	0843	2010-06-21	1023.05	kgm-2	3.89	m	2005	μmol/kg	188.39	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.01 mgm-3	Western Tropical North Atlantic Ocean		SRS580500	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	12.41	-52.22	2.0	μm	0.2	μm	96.95	%	80.36	μEm-2sec-1	23.04	3.92	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580500/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580500/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	36.03	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM55	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580500	R/V Knorr, May-June 2010	Station 27		Illumina PE 150x150		28.40	C	1.07	NTU	samples	biomes	studies	13.4	L
14	1169740	SRS580502	2014-05-09	16.11	pmol leu/L/hr			SAMN02628423	2010-06-21	0928	2010-06-21	1023.05	kgm-2	3.89	m	2005	μmol/kg	188.39	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.01 mgm-3	Western Tropical North Atlantic Ocean		SRS580502	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	12.41	-52.22	156	μm	2.0	μm	96.95	%	80.36	μEm-2sec-1	23.04	3.92	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580502/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580502/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	36.03	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM56	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS580502	R/V Knorr, May-June 2010	Station 27		Illumina PE 150x150		28.40	C	1.07	NTU	samples	biomes	studies	12.8	L
15	1169740	SRS581964	2014-05-09	79.80	pmol leu/L/hr			SAMN02628406	2010-06-16	1015	2010-06-16	1015.64	kgm-2	3.64	m	1576	μmol/kg	194.25	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.16 mgm-3	Western Tropical North Atlantic Ocean		SRS581964	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	10.68	-54.42	156	μm	2.0	μm	95.39	%	27.94	μEm-2sec-1	15.62	3.66	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS581964/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS581964/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	26.49	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM21	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS581964	R/V Knorr, May-June 2010	Station 23		Illumina PE 150x150		29.22	C	1.10	NTU	samples	biomes	studies	10.8	L
16	1169740	SRS581965	2014-05-09	78.48	pmol leu/L/hr			SAMN02628407	2010-06-18	0757	2010-06-18	1019.66	kgm-2	3.93	m	1775	μmol/kg	213.84	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.99 mgm-3	Western Tropical North Atlantic Ocean		SRS581965	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	11.31	-56.43	2.0	μm	0.2	μm	108.60	%	73.71	μEm-2sec-1	19.65	3.95	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS581965/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS581965/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	31.87	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM22	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS581965	R/V Knorr, May-June 2010	Station 25		Illumina PE 150x150		29.21	C	1.23	NTU	samples	biomes	studies	9.4	L
17	1169740	SRS582461	2014-05-09	327.96	pmol leu/L/hr			SAMN02628411	2010-06-05	0749	2010-06-05	1012.65	kgm-2	4.26	m	1373	μmol/kg	251.56	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	7.25 mgm-3	Western Tropical North Atlantic Ocean		SRS582461	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	4.88	-51.36	156	μm	2.0	μm	120.81	%	22.08	μEm-2sec-1	12.63	4.28	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582461/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582461/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	22.55	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM3	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582461	R/V Knorr, May-June 2010	Station 10		Illumina PE 150x150		29.36	C	3.02	NTU	samples	biomes	studies	5.2	L
18	1169740	SRS582462	2014-05-09	78.48	pmol leu/L/hr			SAMN02628408	2010-06-18	0845	2010-06-18	1019.66	kgm-2	3.93	m	1775	μmol/kg	213.84	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.99 mgm-3	Western Tropical North Atlantic Ocean		SRS582462	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina MiSeq		metagenome	2015-08-13T15:30:57	11.31	-56.43	156	μm	2.0	μm	108.60	%	73.71	μEm-2sec-1	19.65	3.95	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582462/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582462/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	31.87	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM23	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582462	R/V Knorr, May-June 2010	Station 25		Illumina PE 150x150		29.21	C	1.23	NTU	samples	biomes	studies	4.85	L
19	1169740	SRS582463	2014-05-08	79.80	pmol leu/L/hr			SAMN02628414	2010-06-16	1015	2010-06-16	1015.64	kgm-2	3.64	m	1576	μmol/kg	194.25	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.16 mgm-3	Western Tropical North Atlantic Ocean		SRS582463	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome Analyzer IIx		metagenome	2015-08-13T15:30:57	10.68	-54.42	2.0	μm	0.2	μm	95.39	%	27.94	μEm-2sec-1	15.62	3.66	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582463/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582463/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	26.49	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM38	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582463	R/V Knorr, May-June 2010	Station 23		Illumina PE 150x150		29.22	C	1.10	NTU	samples	biomes	studies	10.8	L
20	1169740	SRS582491	2014-05-09	139.68	pmol leu/L/hr			SAMN02628417	2010-05-26	1000	2010-05-26	1018.98	kgm-2	3.76	m	1846	μmol/kg	188.26	μmol/kg	ocean biome	Amazon river plume	surface seawater	MIGS/MIMS/MIMARKS.water	0.28 mgm-3	Western Tropical North Atlantic Ocean		SRS582491	root:Environmental:Aquatic:Marine:Oceanic	MGYS00000382	Illumina Genome AnalyzerIIx		metagenome	2015-08-13T15:30:57	7.29	-53.0	2.0	μm	0.2	μm	94.43	%	65.38	μEm-2sec-1	18.97	3.78	Db	https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582491/runs	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582491/studies	https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000382	30.80	practical salinity units	MIMS Environmental/Metagenome sample from aquatic metagenome	MIMS Environmental/Metagenome sample from aquatic metagenome	ACM40	https://www.ebi.ac.uk/metagenomics/api/v1/samples/SRS582491	R/V Knorr, May-June 2010	Station 3		Illumina PE 150x150		28.85	C	1.12	NTU	samples	biomes	studies	10.4	L
